Country,State,Year,"Profit Or Loss Amount (UOM:INR(IndianRupees)), Scaling Factor:100000","Non Performing Assets (Npas) As Percentage Of Loans Outstanding (UOM:%(Percentage)), Scaling Factor:1","Recovery To Demand  (UOM:%(Percentage)), Scaling Factor:1"
India,Sikkim,"Financial Year (Apr - Mar), 2018",672,3.5,10.1
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",8605,2.1,99.7
India,Telangana,"Financial Year (Apr - Mar), 2018",4532,0.2,95.5
India,Tripura,"Financial Year (Apr - Mar), 2018",1559,3.5,81
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",4202,8,94.9
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",1309,4,98.6
India,West Bengal,"Financial Year (Apr - Mar), 2018",638,5.1,89.1
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2017",449,18.4,67.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",8203,1.6,98.4
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",28,55.8,7.7
India,Assam,"Financial Year (Apr - Mar), 2017",-735,10.4,41.4
India,Bihar,"Financial Year (Apr - Mar), 2017",3963,3.9,93.3
India,Chandigarh,"Financial Year (Apr - Mar), 2017",557,5.7,81.9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",4466,3.1,77.2
India,Delhi,"Financial Year (Apr - Mar), 2017",2214,1.8,95.7
India,Goa,"Financial Year (Apr - Mar), 2017",1089,8,88.6
India,Gujarat,"Financial Year (Apr - Mar), 2017",4554,2.2,97
India,Haryana,"Financial Year (Apr - Mar), 2017",3565,0.1,100
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",4979,8,48.8
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2017",367.7756994,4.8,72.5
India,Jharkhand,"Financial Year (Apr - Mar), 2017",47,41.5,82.5
India,Karnataka,"Financial Year (Apr - Mar), 2017",3425,4.4,96.8
India,Kerala,"Financial Year (Apr - Mar), 2017",10035,5.9,93
India,Ladakh,"Financial Year (Apr - Mar), 2017",8.224300622,4.8,72.5
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",6352,4.9,89.7
India,Maharashtra,"Financial Year (Apr - Mar), 2017",20146,9.9,83.6
India,Manipur,"Financial Year (Apr - Mar), 2017",1,83.3,3.9
India,Meghalaya,"Financial Year (Apr - Mar), 2017",945,9.2,19.3
India,Mizoram,"Financial Year (Apr - Mar), 2017",631,9.7,62.3
India,Nagaland,"Financial Year (Apr - Mar), 2017",860,14.4,58.6
India,Odisha,"Financial Year (Apr - Mar), 2017",1984,1.7,98.1
India,Puducherry,"Financial Year (Apr - Mar), 2017",52,17.8,93.2
India,Punjab,"Financial Year (Apr - Mar), 2017",2518,1,99.7
India,Rajasthan,"Financial Year (Apr - Mar), 2017",2563,0.2,99.8
India,Sikkim,"Financial Year (Apr - Mar), 2017",483,5,38.1
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",8277,3.4,98.8
India,Telangana,"Financial Year (Apr - Mar), 2017",4099,0.2,99.8
India,Tripura,"Financial Year (Apr - Mar), 2017",1385,3.2,81.6
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",4091,8.5,95.7
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",1270,4.9,96.4
India,West Bengal,"Financial Year (Apr - Mar), 2017",124,5.2,86.9
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2016",390,18.3,61.2
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",6860,1.8,98.7
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",20,50.2,22.2
India,Assam,"Financial Year (Apr - Mar), 2016",1550,10.7,51.4
India,Bihar,"Financial Year (Apr - Mar), 2016",3620,4.5,76.1
India,Chandigarh,"Financial Year (Apr - Mar), 2016",290,4.4,82.7
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",1490,3.2,80.6
India,Delhi,"Financial Year (Apr - Mar), 2016",1990,2.9,95.5
India,Goa,"Financial Year (Apr - Mar), 2016",-1490,9,83.2
India,Gujarat,"Financial Year (Apr - Mar), 2016",4060,2,97.8
India,Haryana,"Financial Year (Apr - Mar), 2016",3200,0.1,94
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",9320,5.7,60.3
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2016",420.5945498,10,64.8
India,Jharkhand,"Financial Year (Apr - Mar), 2016",-320,24.4,20.5
India,Karnataka,"Financial Year (Apr - Mar), 2016",3300,2.2,97.4
India,Kerala,"Financial Year (Apr - Mar), 2016",8950,8.4,83.5
India,Ladakh,"Financial Year (Apr - Mar), 2016",9.405450179,10,64.8
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",2980,4.8,93.9
India,Maharashtra,"Financial Year (Apr - Mar), 2016",24530,8,79.2
India,Manipur,"Financial Year (Apr - Mar), 2016",20,91.6,7.3
India,Meghalaya,"Financial Year (Apr - Mar), 2016",810,9.3,28.1
India,Mizoram,"Financial Year (Apr - Mar), 2016",670,9.8,52.9
India,Nagaland,"Financial Year (Apr - Mar), 2016",840,15.5,66.9
India,Odisha,"Financial Year (Apr - Mar), 2016",1770,2.1,97.9
India,Puducherry,"Financial Year (Apr - Mar), 2016",80,5.4,36.7
India,Punjab,"Financial Year (Apr - Mar), 2016",3150,0.9,99.7
